JD,Phase,Flux,col4
1290.1399, 0.18807869, 0.97676057,
1290.1404, 0.18816909, 0.97703040,
1290.1450, 0.18910882, 0.97482187,
1290.1454, 0.18920398, 0.97553045,
1290.1500, 0.19013895, 0.98151952,
1290.1504, 0.19022697, 0.97380841,
1290.1550, 0.19116670, 0.98628378,
1290.1554, 0.19125710, 0.98518896,
1290.9348, 0.35145752, 1.0704827,
1290.9352, 0.35154792, 1.0774486,
1290.9399, 0.35250192, 1.0755315,
1290.9403, 0.35259232, 1.0763388,
1290.9449, 0.35354394, 1.0722225,
1290.9454, 0.35363435, 1.0701421,
1290.9500, 0.35458835, 1.0811225,
1290.9505, 0.35468113, 1.0745603,
1290.9562, 0.35585876, 1.0672667,
1290.9566, 0.35594916, 1.0777647,
1290.9624, 0.35713393, 1.0791662,
1290.9628, 0.35722195, 1.0683851,
1290.9701, 0.35872076, 1.0735961,
1290.9705, 0.35880878, 1.0735379,
1290.9762, 0.35998165, 1.0733294,
1290.9767, 0.36007681, 1.0726011,
1290.9824, 0.36124731, 1.0731742,
1290.9828, 0.36133771, 1.0775111,
1290.9874, 0.36228219, 1.0710065,
1290.9879, 0.36237260, 1.0836394,
1290.9924, 0.36330756, 1.0670027,
1290.9929, 0.36339559, 1.0722675,
1290.9982, 0.36448995, 1.0751706,
1291.0032, 0.36551532, 1.0718639,
1291.0036, 0.36560335, 1.0689299,
1291.0108, 0.36707598, 1.0761095,
1291.0112, 0.36716400, 1.0725319,
1291.0168, 0.36831784, 1.0723695,
1291.0172, 0.36840587, 1.0710307,
1291.0228, 0.36955257, 1.0681572,
1291.0233, 0.36964297, 1.0784873,
1291.0289, 0.37080633, 1.0743827,
1291.0294, 0.37090149, 1.0713265,
1291.0349, 0.37204581, 1.0766251,
1291.0354, 0.37213621, 1.0731293,
1291.0477, 0.37466990, 1.0608271,
1291.0481, 0.37476031, 1.0685389,
1291.0545, 0.37607116, 1.0734887,
1291.0550, 0.37616157, 1.0674682,
1291.0673, 0.37869525, 1.0744877,
1291.0677, 0.37878804, 1.0707233,
1291.0733, 0.37993474, 1.0734417,
1291.0738, 0.38002514, 1.0858247,
1291.0793, 0.38116946, 1.0921147,
1291.0798, 0.38125987, 1.0810258,
1291.0854, 0.38241133, 1.0853053,
1291.0858, 0.38250173, 1.0951205,
1291.0929, 0.38395771, 1.0685037,
1291.0933, 0.38404811, 1.0691904,
1291.0989, 0.38519244, 1.0696460,
1291.0993, 0.38528284, 1.0692440,
1291.1049, 0.38642954, 1.0706630,
1291.1053, 0.38651757, 1.0782412,
1291.1110, 0.38767141, 1.0689533,
1291.1114, 0.38775943, 1.0747888,
1291.1170, 0.38891089, 1.0680325,
1291.1174, 0.38900129, 1.0689422,
1291.1230, 0.39014562, 1.0738248,
1291.1234, 0.39023602, 1.0708096,
1291.1290, 0.39138748, 1.0713817,
1291.1295, 0.39147788, 1.0691109,
1291.1525, 0.39621695, 1.0722965,
1291.1530, 0.39630735, 1.0688597,
1291.1584, 0.39742551, 1.0670645,
1291.8631, 0.54226916, 0.99908334,
1291.8830, 0.54636827, 0.98976600,
1291.8881, 0.54741505, 1.0298542,
1291.8928, 0.54837618, 0.98059809,
1291.9176, 0.55346973, 0.94898152,
1291.9425, 0.55859896, 0.97773260,
1291.9476, 0.55964812, 0.99369115,
1291.9533, 0.56081861, 0.99418938,
1291.9538, 0.56090901, 0.98905587,
1291.9594, 0.56207475, 0.98092639,
1291.9599, 0.56216515, 0.97857434,
1291.9738, 0.56502953, 0.95552206,
1291.9795, 0.56619288, 0.99402505,
1291.9856, 0.56745378, 0.99098015,
1291.9860, 0.56754418, 0.98739022,
1291.9914, 0.56863617, 0.98899394,
1291.9918, 0.56872657, 0.99244916,
1292.0078, 0.57202393, 0.98407412,
1292.0083, 0.57211672, 0.99640501,
1292.0138, 0.57325628, 0.98685783,
1292.0143, 0.57334668, 0.99367708,
1292.0198, 0.57448625, 0.99287909,
1292.0202, 0.57457427, 0.99463058,
1292.0259, 0.57572811, 0.98748988,
1292.0263, 0.57582327, 0.99474430,
1292.0320, 0.57698187, 1.0147630,
1292.0324, 0.57707703, 0.99866724,
1292.0447, 0.57959883, 1.0022957,
1292.0451, 0.57969161, 1.0071341,
1292.0515, 0.58100484, 0.99521470,
1292.0520, 0.58109525, 1.0076483,
1292.0580, 0.58233473, 0.98980653,
1292.0643, 0.58362180, 0.97557026,
1292.0647, 0.58371220, 0.98825544,
1292.0703, 0.58486366, 0.99213707,
1292.0708, 0.58495882, 0.99458659,
1292.0764, 0.58611028, 0.98469746,
1292.0768, 0.58619831, 0.99248594,
1292.0823, 0.58733787, 0.99930567,
1292.0828, 0.58742828, 0.99730206,
1292.0899, 0.58889377, 1.0005865,
1292.0903, 0.58898417, 0.99385077,
1292.0959, 0.59013563, 0.99413711,
1292.0964, 0.59022366, 0.99643248,
1292.1020, 0.59137036, 0.98783070,
1292.1024, 0.59146552, 1.0085747,
1292.1081, 0.59262888, 0.99640864,
1292.1085, 0.59272404, 0.97534537,
1292.1141, 0.59386598, 0.99945480,
1292.1145, 0.59395877, 0.99357879,
1292.1201, 0.59510071, 1.0129902,
1292.1206, 0.59519349, 1.0123278,
1292.1261, 0.59634020, 0.98181808,
1292.1266, 0.59643060, 1.0040543,
1292.1344, 0.59804835, 1.0369732,
1292.1349, 0.59813876, 0.95992637,
1292.1400, 0.59918078, 0.97091067,
1292.1446, 0.60013240, 0.97189093,
1292.1450, 0.60022280, 0.99146277,
1292.1496, 0.60116491, 0.98454332,
1292.1500, 0.60125531, 1.0010771,
1292.1554, 0.60235443, 1.0032736,
1292.1558, 0.60244484, 0.99357843,
1292.8248, 0.73995626, 1.0499582,
1292.8253, 0.74004429, 1.0471904,
1292.8299, 0.74100542, 1.0422689,
1292.8304, 0.74109345, 1.0576143,
1292.8359, 0.74222587, 1.0520051,
1292.8363, 0.74231152, 1.0624170,
1292.8422, 0.74352484, 1.0498188,
1292.9142, 0.75831776, 1.0534197,
1292.9146, 0.75840579, 1.0539422,
1292.9224, 0.76001878, 1.0542301,
1292.9229, 0.76010919, 1.0598292,
1292.9285, 0.76127254, 1.0495328,
1292.9290, 0.76136295, 1.0537031,
1292.9336, 0.76231457, 1.0542990,
1292.9340, 0.76240497, 1.0571280,
1292.9387, 0.76336373, 1.0562935,
1292.9391, 0.76345413, 1.0578300,
1292.9438, 0.76442002, 1.0580938,
1292.9443, 0.76451043, 1.0568116,
1292.9489, 0.76546443, 1.0597780,
1292.9494, 0.76555483, 1.0567682,
1292.9550, 0.76672294, 1.0629345,
1292.9555, 0.76681335, 1.0471026,
1292.9629, 0.76832880, 1.0545986,
1292.9633, 0.76842634, 1.0598505,
1292.9690, 0.76959684, 1.0577798,
1292.9695, 0.76968486, 1.0569763,
1292.9752, 0.77085773, 1.0565979,
1292.9756, 0.77094576, 1.0553079,
1292.9813, 0.77211149, 1.0609186,
1292.9817, 0.77219952, 1.0615615,
1292.9862, 0.77313448, 1.0545911,
1292.9920, 0.77431211, 1.0579481,
1292.9924, 0.77440252, 1.0562780,
1292.9970, 0.77533986, 1.0556201,
1292.9974, 0.77543026, 1.0564284,
1293.0046, 0.77691479, 1.0629438,
1293.0051, 0.77700995, 1.0586329,
1293.0107, 0.77815666, 1.0618587,
1293.0111, 0.77824706, 1.0625159,
1293.0167, 0.77939138, 1.0588527,
1293.0171, 0.77948179, 1.0621483,
1293.0227, 0.78061897, 1.0580127,
1293.0231, 0.78070938, 1.0608282,
1293.0347, 0.78308842, 1.0627885,
1293.0351, 0.78317883, 1.0613323,
1293.0407, 0.78433029, 1.0561274,
1293.0411, 0.78442069, 1.0542396,
1293.0544, 0.78715184, 1.0603017,
1293.0549, 0.78724224, 1.0608062,
1293.0732, 0.79101542, 1.0613933,
1293.0737, 0.79110582, 1.0553950,
1293.0792, 0.79225014, 1.0584100,
1293.0797, 0.79234055, 1.0674144,
1293.0929, 0.79505028, 1.0589774,
1293.0933, 0.79514069, 1.0710880,
1293.0989, 0.79628501, 1.0667164,
1293.1049, 0.79751736, 1.0678419,
1293.1053, 0.79760776, 1.0619243,
1293.1109, 0.79875922, 1.0628027,
1293.1113, 0.79884963, 1.0562292,
1293.1169, 0.79999633, 1.0686159,
1293.1174, 0.80008911, 1.0664234,
1293.1229, 0.80123105, 1.0701356,
1293.1234, 0.80132622, 1.0726804,
1293.1312, 0.80293921, 1.0764705,
1293.1317, 0.80303199, 1.0605994,
1293.1363, 0.80397410, 1.0663327,
1293.1367, 0.80406926, 1.0649338,
1293.1413, 0.80501136, 1.0856385,
1293.1418, 0.80510177, 1.0644767,
1293.1464, 0.80605339, 1.0697938,
1293.1468, 0.80614379, 1.0672932,
1293.1521, 0.80723577, 1.0681245,
1293.1526, 0.80732618, 1.0579735,
1293.1572, 0.80827304, 1.0852628,
1293.1576, 0.80836344, 1.0475225,
1293.8073, 0.94189472, 1.0003144,
1293.8077, 0.94198512, 0.98093230,
1293.9807, 0.97754239, 0.95452696,
1293.9864, 0.97872240, 0.94285560,
1294.0025, 0.98202928, 0.95434672,
1294.0030, 0.98212444, 0.95009661,
1294.0086, 0.98327114, 0.95466256,
1294.0090, 0.98336631, 0.96011150,
1294.0327, 0.98823384, 0.94263846,
1294.0394, 0.98961845, 0.94210136,
1294.0399, 0.98971361, 0.94806480,
1294.0463, 0.99103160, 0.93719822,
1294.0467, 0.99112201, 0.94552416,
1294.0524, 0.99227823, 0.94115204,
1294.0528, 0.99237339, 0.94824481,
1294.0591, 0.99366759, 0.94838941,
1294.0596, 0.99375561, 0.94017696,
1294.0656, 0.99499272, 0.94802755,
1294.0772, 0.99737891, 0.94707245,
1294.0776, 0.99747169, 0.94940668,
1294.0847, 0.99893005, 0.94197857,
1294.0852, 0.99902045, 0.94675577,
1294.0908, 0.00017904785, 0.94680762,
1294.0912, 0.00026945172, 0.94598836,
1294.0968, 0.0014090163, 0.94858509,
1294.0972, 0.0015017992, 0.93889284,
1294.1028, 0.0026437429, 0.94599748,
1294.1032, 0.0027317677, 0.94562936,
1294.1088, 0.0038760904, 0.94509310,
1294.1092, 0.0039617362, 0.93096125,
1294.1148, 0.0051060589, 0.93063849,
1294.1152, 0.0051940837, 0.95137501,
1294.1208, 0.0063407854, 0.93164843,
1294.1212, 0.0064311893, 0.94545382,
1294.1291, 0.0080489428, 0.93977034,
1294.1295, 0.0081393467, 0.93441778,
1294.1341, 0.0090790711, 0.93924379,
1294.1346, 0.0091742331, 0.93591303,
1294.1392, 0.010121095, 0.94225019,
1294.1396, 0.010216257, 0.93879473,
1294.1443, 0.011177393, 0.94280326,
1294.1448, 0.011267796, 0.94783098,
